tech_id,process_type,description,unit_operation,main_sector,main_category,category_spec,tech_type,year,reference_unit_size,reference_unit_size_unit,location,currency,trl,tech_maturity,efficiency,efficiency_unit,carriers_in,main_input,ratios_in,units_in,carriers_out,main_out,ratios_out,units_out,capex,capex_unit,opex,opex_unit,lifetime,lifetime_unit,ref_year,summary,model
AEC_2035,Conversion,Alkaline water electrolysis uses renewable electricity to split water into hydrogen and oxygen. The technology operates at 60-90 °C and is available at MW scale.,Electrolysis,Fuels,Electrolysis,Alkaline,Alkaline water electrolysis,2035,,MW-scale,"Iceland, The Netherlands, Spain, Chile",EUR,,dominant market technology; available at MW-scale,,55.1 kWh_el/kg_H2 baseline; 47.5-75.0 kWh_el/kg_H2,"electricity, water",electricity,55.1,"kWh_el/kg_H2, not specified","hydrogen, oxygen",hydrogen,1,"kg_H2 reference basis, not specified",790.5,€/kW,48.9,% of system,75532,h,2024,"Near-future AEC has baseline electricity demand of 55.1 kWh_el/kg_H2, CAPEX of 790.5 €/kW, and stack share of 48.9% of system cost. Stack lifetime is 75532 h, with plant operation of 8000 h/y and MSP investment lifetime of 25 years.",gpt-5.5
AEC_2050,Conversion,Alkaline water electrolysis uses renewable electricity to split water into hydrogen and oxygen. The long-term scenario describes AEC as a well-established technology.,Electrolysis,Fuels,Electrolysis,Alkaline,Alkaline water electrolysis,2050,,,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario,,48.9 kWh_el/kg_H2 baseline; 45.47-52.0 kWh_el/kg_H2,"electricity, water",electricity,48.9,"kWh_el/kg_H2, not specified","hydrogen, oxygen",hydrogen,1,"kg_H2 reference basis, not specified",527.2,€/kW,48.8,% of system,87500,h,2024,"Long-term AEC has baseline electricity demand of 48.9 kWh_el/kg_H2, CAPEX of 527.2 €/kW, and stack share of 48.8% of system cost. Stack lifetime is 87500 h, with plant operation of 8000 h/y and MSP investment lifetime of 25 years.",gpt-5.5
PEM_2035,Conversion,Proton exchange membrane electrolysis uses renewable electricity to split water into hydrogen and oxygen. It operates at 60-90 °C and is available at MW scale.,Electrolysis,Fuels,Electrolysis,PEM,Proton exchange membrane electrolysis,2035,,MW-scale,"Iceland, The Netherlands, Spain, Chile",EUR,,dominant market technology; available at MW-scale,,57.9 kWh_el/kg_H2 baseline; 48.8-83.0 kWh_el/kg_H2,"electricity, water",electricity,57.9,"kWh_el/kg_H2, not specified","hydrogen, oxygen",hydrogen,1,"kg_H2 reference basis, not specified",1047.9,€/kW,42.0,% of system,64026,h,2024,"Near-future PEM electrolysis has baseline electricity demand of 57.9 kWh_el/kg_H2, CAPEX of 1047.9 €/kW, and stack share of 42.0% of system cost. Stack lifetime is 64026 h, with plant operation of 8000 h/y and MSP investment lifetime of 25 years.",gpt-5.5
PEM_2050,Conversion,Proton exchange membrane electrolysis uses renewable electricity to split water into hydrogen and oxygen. The long-term scenario describes PEM electrolysis as a well-established technology.,Electrolysis,Fuels,Electrolysis,PEM,Proton exchange membrane electrolysis,2050,,,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario,,53.1 kWh_el/kg_H2 baseline; 47.0-64.0 kWh_el/kg_H2,"electricity, water",electricity,53.1,"kWh_el/kg_H2, not specified","hydrogen, oxygen",hydrogen,1,"kg_H2 reference basis, not specified",473.5,€/kW,39.4,% of system,85420,h,2024,"Long-term PEM electrolysis has baseline electricity demand of 53.1 kWh_el/kg_H2, CAPEX of 473.5 €/kW, and stack share of 39.4% of system cost. Stack lifetime is 85420 h, with plant operation of 8000 h/y and MSP investment lifetime of 25 years.",gpt-5.5
SOEC_2035,Conversion,Solid oxide electrolysis operates at 700-850 °C below thermoneutral conditions to produce hydrogen from steam. High-temperature steam is assumed to be supplied from natural gas.,Electrolysis,Fuels,Electrolysis,Solid oxide,Solid oxide electrolysis,2035,,,"Iceland, The Netherlands, Spain, Chile",EUR,,emerging electrolysis technology; not described as dominant market technology,,34.1 kWh_el/kg_H2 and 8.3 kWh_th/kg_H2 baseline,"electricity, thermal energy, HT steam, water",electricity,"34.1, 8.3","kWh_el/kg_H2, kWh_th/kg_H2, not specified, not specified","hydrogen, oxygen",hydrogen,1,"kg_H2 reference basis, not specified",1739.5,€/kW,27.0,% of system,30308,h,2024,"Near-future SOEC has baseline electricity demand of 34.1 kWh_el/kg_H2 and thermal energy demand of 8.3 kWh_th/kg_H2. CAPEX is 1739.5 €/kW, stack share is 27.0% of system cost, and stack lifetime is 30308 h.",gpt-5.5
SOEC_2050,Conversion,"Solid oxide electrolysis operates at 700-850 °C below thermoneutral conditions to produce hydrogen from steam. In the long-term scenario, high-temperature steam is still assumed to come from natural gas and energy requirements remain the same as near future.",Electrolysis,Fuels,Electrolysis,Solid oxide,Solid oxide electrolysis,2050,,,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario post-2035,,34.1 kWh_el/kg_H2 and 8.3 kWh_th/kg_H2 baseline,"electricity, thermal energy, HT steam, water",electricity,"34.1, 8.3","kWh_el/kg_H2, kWh_th/kg_H2, not specified, not specified","hydrogen, oxygen",hydrogen,1,"kg_H2 reference basis, not specified",958.3,€/kW,13.8,% of system,71991,h,2024,"Long-term SOEC has baseline electricity demand of 34.1 kWh_el/kg_H2 and thermal energy demand of 8.3 kWh_th/kg_H2. CAPEX is 958.3 €/kW, stack share is 13.8% of system cost, and stack lifetime is 71991 h.",gpt-5.5
LT_DAC_2035,Capture,"Low-temperature solid sorbent direct air capture uses temperature-vacuum swing adsorption with amine-functionalized sorbent to capture CO2 directly from air. The system includes DAC construction, vacuum pumps, blowers, and heat exchangers.",Temperature-vacuum swing adsorption,Industry,CO2 Capture,Solid sorbent,Low-temperature solid sorbent direct air capture,2035,360,kt annual CO2 input,"Iceland, The Netherlands, Spain, Chile",EUR,,Climeworks Mammoth DAC plant nominal CO2 capture capacity 36 kt/y; multimegaton scale targeted by 2030,,0.48 MWh_el/tCO2 and 2.53 MWh_th/tCO2 baseline,"electricity, heat, sorbent, cooling",heat,"0.48, 2.53, 7.5, 33","MWh_el/tCO2, MWh_th/tCO2, kg/tCO2, Wh_el/kWh_cooling",captured CO2,captured CO2,1,tCO2 reference basis,730.0,€/tCO2*y,21.5,€/kg_sorbent,25,years,2024,"Near-future LT DAC consumes 0.48 MWh_el/tCO2, 2.53 MWh_th/tCO2, and 7.50 kg sorbent/tCO2. CAPEX is 730.0 €/tCO2*y and sorbent cost is 21.5 €/kg_sorbent, with plant capacities adjusted to 360 kt annual CO2 input.",gpt-5.5
LT_DAC_2050,Capture,Low-temperature solid sorbent direct air capture uses temperature-vacuum swing adsorption with amine-functionalized sorbent to capture CO2 directly from air. The long-term case is described as a well-established technology scenario.,Temperature-vacuum swing adsorption,Industry,CO2 Capture,Solid sorbent,Low-temperature solid sorbent direct air capture,2050,360,kt annual CO2 input,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario post-2035,,0.38 MWh_el/tCO2 and 1.50 MWh_th/tCO2 baseline,"electricity, heat, sorbent, cooling",heat,"0.38, 1.5, 3, 33","MWh_el/tCO2, MWh_th/tCO2, kg/tCO2, Wh_el/kWh_cooling",captured CO2,captured CO2,1,tCO2 reference basis,100.0,€/tCO2*y,7.4,€/kg_sorbent,25,years,2024,"Long-term LT DAC consumes 0.38 MWh_el/tCO2, 1.50 MWh_th/tCO2, and 3.00 kg sorbent/tCO2. CAPEX is 100.0 €/tCO2*y and sorbent cost is 7.4 €/kg_sorbent, with plant capacities adjusted to 360 kt annual CO2 input.",gpt-5.5
HT_DAC_2035,Capture,High-temperature aqueous absorption direct air capture captures CO2 from air using aqueous absorption. High-temperature heat above 100 °C is assumed to be supplied by natural gas-fed boilers.,Aqueous absorption,Industry,CO2 Capture,Aqueous,High-temperature aqueous absorption direct air capture,2035,,,"Iceland, The Netherlands, Spain, Chile",EUR,,DAC technology; specific TRL not stated,,,"CO2 from air, HT heat, natural gas, electricity",HT heat,"100, 25","not specified, not specified, €/MWh_th, not specified",captured CO2,captured CO2,1,tCO2 reference basis implied,,,,,25,years,2024,"Near-future HT DAC uses CO2 from air, high-temperature heat from natural gas-fed boilers, natural gas priced at 25.0 €/MWh_th, and electricity with unspecified quantity. CAPEX, OPEX, and energy consumption are not specified.",gpt-5.5
HT_DAC_2050,Capture,High-temperature aqueous absorption direct air capture captures CO2 from air using aqueous absorption. High-temperature heat above 100 °C is assumed to be supplied by natural gas-fed boilers.,Aqueous absorption,Industry,CO2 Capture,Aqueous,High-temperature aqueous absorption direct air capture,2050,,,"Iceland, The Netherlands, Spain, Chile",,,well-established technology scenario post-2035,,,"CO2 from air, HT heat, electricity",HT heat,100,"not specified, not specified, not specified",captured CO2,captured CO2,1,tCO2 reference basis implied,,,,,25,years,2024,"Long-term HT DAC uses CO2 from air, high-temperature heat from natural gas-fed boilers, and electricity with unspecified quantity. CAPEX, OPEX, and energy consumption are not specified; the HT DAC case averages 21.5% higher MSP and 1.5 times higher GHG than LT DAC.",gpt-5.5
